LIPID CATEGORY|LIPID CATEGORY|SUM COMPOSITION|INDIVIDUAL LIPID SPECIES |poner por niveles|FORMULA|MONOISOTOPIC MASS|RT|monoisotopic_mass_fixed|[M+H]+|[M+Na]+|[M+K]+|[M+NH4]+|[M+C2H7N2]+|[M+CH5O]+|[M+C2H8N]+|[2M+H]+|[2M+Na]+|[2M+K]+|[2M+NH4]+|[2M+Na+H]+|[M-H]-|[M+Cl]-|[M+CH3CO2]-|[M+CH2COONa]-|[M+C4H6O4Na]-|[M+C6H9O6Na2]-|[M+C8H12O8Na3]-|[M+HCO2]-|[M+COONa]-|[M+C3H4O4Na]-|[2M-H]-
||FA 14:0|C14:0||C14H28O2|228,2094|2,72|228.20893089880002|229.21620735090002|251.19815159880002|267.1720923188|246.2427564472|287.2693055435|261.2424224793|274.2740565756|457.4251382497|479.4070824976001|495.38102321760005|474.4516873460001|480.41490752970003|227.2016544467|263.17832947880004|287.2227845751|309.20472882300004|369.2258589514|451.22893332769996|533.2320077039999|273.2071345109|295.1890787588|355.2102088872|455.4105853455
||FA 14:1|C14:1||C14H26O2|226,1931|2,08|226.19328083460002|227.20055728670002|249.18250153460002|265.15644225460005|244.22710638300003|285.2536554793|259.2267724151|272.25840651140004|453.3938381213|475.37578236920007|491.34972308920004|470.4203872176001|476.3836074013|225.1860043825|261.1626794146|285.2071345109|307.1890787588|367.2102088872|449.21328326349993|531.2163576398|271.1914844467|293.17342869460003|353.194558823|451.3792852171
||FA 15:0|C15:0||C15H30O2|242,2249|3,16|242.22458096300002|243.23185741510002|265.213801663|281.18774238300006|260.25840651140004|301.2849556077|275.2580725435|288.28970663980004|485.4564383781|507.4383826260001|523.4123233460001|502.48298747440003|508.44620765810004|241.2173045109|277.193979543|301.2384346393|323.2203788872|383.2415090156|465.24458339189994|547.2476577682|287.2227845751|309.20472882300004|369.2258589514|483.4418854739
||FA 16:0|C16:0||C16H32O2|256,2413|3,61|256.24023102719997|257.2475074793|279.2294517272|295.2033924472|274.2740565756|315.30060567190003|289.27372260770005|302.305356704|513.4877385065|535.4696827544|551.4436234743999|530.5142876028|536.4775077865|255.2329545751|291.2096296072|315.2540847035|337.23602895140004|397.25715907980003|479.26023345609997|561.2633078324|301.2384346393|323.2203788872|383.2415090156|511.4731856023
||FA 16:1|C16:1||C16H30O2|254,2252|2,92|254.22458096300002|255.23185741510002|277.213801663|293.18774238300006|272.25840651140004|313.2849556077|287.2580725435|300.28970663980004|509.4564383781|531.438382626|547.4123233460001|526.4829874743999|532.4462076581|253.2173045109|289.193979543|313.2384346393|335.2203788872|395.2415090156|477.24458339189994|559.2476577682|299.2227845751|321.20472882300004|381.2258589514|507.4418854739
||FA 16:2|C16:2||C16H28O2|252,2085|2,41|252.20893089880002|253.21620735090002|275.19815159880005|291.1720923188|270.2427564472|311.2693055435|285.2424224793|298.2740565756|505.4251382497|527.4070824976001|543.3810232176|522.4516873460001|528.4149075297|251.2016544467|287.17832947880004|311.2227845751|333.20472882300004|393.2258589514|475.22893332769996|557.2320077039999|297.2071345109|319.1890787588|379.2102088872|503.4105853455
||FA 16:3|C16:3||C16H26O2|250,1936|1,98|250.19328083460002|251.20055728670002|273.1825015346|289.15644225460005|268.22710638300003|309.2536554793|283.2267724151|296.25840651140004|501.3938381213|523.3757823692|539.3497230892001|518.4203872176|524.3836074013|249.1860043825|285.1626794146|309.2071345109|331.1890787588|391.2102088872|473.21328326349993|555.2163576398|295.1914844467|317.17342869460003|377.194558823|499.3792852171
||FA 17:0|C17:0||C17H34O2|270,2564|4,02|270.2558810914|271.26315754350003|293.24510179140003|309.2190425114|288.28970663980004|329.3162557361|303.2893726719|316.3210067682|541.5190386349|563.5009828828|579.4749236028|558.5455877311999|564.5088079149|269.24860463929997|305.2252796714|329.2697347677|351.2516790156|411.272809144|493.27588352029994|575.2789578965999|315.2540847035|337.23602895140004|397.25715907980003|539.5044857307
||FA 17:1|C17:1||C17H32O2|268,2406|3,36|268.24023102719997|269.2475074793|291.2294517272|307.2033924472|286.2740565756|327.3006056719|301.27372260770005|314.305356704|537.4877385065|559.4696827544|575.4436234743999|554.5142876028|560.4775077865|267.2329545751|303.2096296072|327.2540847035|349.23602895140004|409.25715907980003|491.26023345609997|573.2633078324|313.2384346393|335.2203788872|395.2415090156|535.4731856023
||FA 18:0|C18:0||C18H36O2|284,2728|4,41|284.2715311556|285.2788076077|307.2607518556|323.2346925756|302.305356704|343.3319058003|317.3050227361|330.3366568324|569.5503387633|591.5322830112|607.5062237312|586.5768878596|592.5401080433|283.2642547035|319.24092973559993|343.2853848319|365.26732907980005|425.2884592082|507.2915335845|589.2946079608|329.2697347677|351.2516790156|411.272809144|567.5357858591
||FA 18:1|C18:1||C18H34O2|282,2569|3,77|282.2558810914|283.26315754350003|305.24510179140003|321.2190425114|300.28970663980004|341.3162557361|315.28937267189997|328.3210067682|565.5190386349|587.5009828828|603.4749236028|582.5455877311999|588.5088079149|281.24860463929997|317.2252796714|341.2697347677|363.2516790156|423.272809144|505.27588352029994|587.2789578965999|327.2540847035|349.23602895140004|409.25715907980003|563.5044857307
||FA 18:2|C18:2||C18H32O2|280,2414|3,18|280.24023102719997|281.2475074793|303.2294517272|319.2033924472|298.2740565756|339.3006056719|313.27372260770005|326.305356704|561.4877385065|583.4696827544|599.4436234743999|578.5142876028|584.4775077865|279.2329545751|315.2096296072|339.2540847035|361.23602895140004|421.25715907980003|503.26023345609997|585.2633078324|325.2384346393|347.2203788872|407.2415090156|559.4731856023
||FA 18:3|C18:3||C18H30O2|278,2251|2,67|278.224580963|279.2318574151|301.213801663|317.187742383|296.25840651140004|337.2849556077|311.2580725435|324.28970663980004|557.4564383781|579.438382626|595.412323346|574.4829874743999|580.4462076581|277.21730451089996|313.19397954299995|337.2384346393|359.2203788872|419.2415090156|501.24458339189994|583.2476577682|323.2227845751|345.20472882300004|405.2258589514|555.4418854739
||FA 19:0|C19.0||C19H38O2|298,2874|4,79|298.2871812198|299.2944576719|321.27640191980004|337.2503426398|316.3210067682|357.3475558645|331.32067280030003|344.3523068966|597.5816388917|619.5635831396|635.5375238596|614.6081879879999|620.5714081717|297.2799047677|333.25657979979997|357.3010348961|379.282979144|439.3041092724|521.3071836487|603.3102580249999|343.2853848319|365.26732907980005|425.2884592082|595.5670859874999
||FA 19:1|C19:1||C19H36O2|296,2717|4,14|296.2715311556|297.2788076077|319.2607518556|335.2346925756|314.305356704|355.3319058003|329.3050227361|342.3366568324|593.5503387633|615.5322830112|631.5062237312|610.5768878596|616.5401080433|295.26425470349994|331.24092973559993|355.2853848319|377.26732907980005|437.2884592082|519.2915335845|601.2946079608|341.2697347677|363.2516790156|423.272809144|591.5357858591
||FA 20:0|C20:0||C20H40O2|312,3033|5,23|312.302831284|313.3101077361|335.292051984|351.265992704|330.3366568324|371.3632059287|345.33632286450006|358.36795696080003|625.6129390200999|647.594883268|663.568823988|642.6394881163999|648.6027083001|311.29555483189995|347.272229864|371.3166849603|393.2986292082|453.3197593366|535.3228337129|617.3259080892001|357.3010348961|379.282979144|439.3041092724|623.5983861159
||FA 20:1|C20:1||C20H38O2|310,2878|4,51|310.2871812198|311.2944576719|333.27640191980004|349.2503426398|328.3210067682|369.3475558645|343.32067280030003|356.3523068966|621.5816388917|643.5635831396|659.5375238596|638.6081879879999|644.5714081717|309.2799047677|345.25657979979997|369.3010348961|391.282979144|451.3041092724|533.3071836487|615.3102580249999|355.2853848319|377.26732907980005|437.2884592082|619.5670859874999
||FA 20:2|C20:2||C20H36O2|308,2718|3,98|308.2715311556|309.2788076077|331.2607518556|347.2346925756|326.305356704|367.3319058003|341.3050227361|354.3366568324|617.5503387633|639.5322830112|655.5062237312|634.5768878596|640.5401080433|307.26425470349994|343.24092973559993|367.2853848319|389.26732907980005|449.2884592082|531.2915335845|613.2946079608|353.2697347677|375.2516790156|435.272809144|615.5357858591
||FA 20:3|C20:3||C20H34O2|306,2559|3,49|306.2558810914|307.2631575435|329.24510179140003|345.2190425114|324.28970663980004|365.3162557361|339.28937267189997|352.3210067682|613.5190386349|635.5009828828|651.4749236028|630.5455877311999|636.5088079149|305.24860463929997|341.2252796714|365.2697347677|387.2516790156|447.272809144|529.2758835203|611.2789578965999|351.2540847035|373.23602895140004|433.25715907980003|611.5044857306999
||FA 20:4|C20:4||C20H32O2|304,2402|3,09|304.24023102719997|305.2475074793|327.2294517272|343.2033924472|322.2740565756|363.3006056719|337.27372260770005|350.305356704|609.4877385065|631.4696827544|647.4436234743999|626.5142876028|632.4775077865|303.23295457509994|339.2096296072|363.2540847035|385.23602895140004|445.25715907980003|527.2602334561|609.2633078324|349.2384346393|371.2203788872|431.2415090156|607.4731856023
